keyword,tweet_count,mean_sentiment
thunderstorm,93,-0.09187158267013729
flattened,88,-0.26442336689003487
stretcher,86,-0.2117958081111875
mass murder,86,-0.5906598688384821
drown,83,-0.3955459878275014
sirens,83,-0.1390180538986327
drowning,83,-0.29718841296474796
engulfed,82,-0.15376732006765584
obliterate,80,-0.31546839816728606
fear,80,-0.29989635409438054
derailment,79,-0.5351632488243093
collision,77,-0.2680782238021493
electrocute,77,-0.520411275913818
deluge,76,-0.23035260542038535
deaths,76,-0.4313862773491756
hostage,76,-0.4705391059672509
derailed,76,-0.4159194030783654
fatalities,74,-0.3622123373017923
sunk,74,-0.45168278461032724
attack,74,-0.43761897475357997
traumatised,74,-0.6022568498140302
airplane accident,74,-0.6075159552242808
inundation,72,-0.1394402722815155
damage,72,-0.49190530434781166
destroy,72,-0.42521271213708034
body bag,71,-0.20837767888188466
inundated,71,-0.23641091793395158
death,71,-0.3710707771021243
crash,71,-0.40526553019094214
demolished,70,-0.3809353339485824
